fixation_index,count,first_frame_idx,last_frame_idx
0,38,2254,2291
1,38,2299,2336
2,39,2343,2381
3,39,2388,2426
4,38,2433,2470
5,40,2478,2517
6,39,2524,2562
7,40,2569,2608
8,40,2615,2654
