fixation_index,x_px,y_px,rel_x,rel_y
0,192,540,0.1,0.5
1,345,540,0.18,0.5
2,499,540,0.26,0.5
3,652,540,0.34,0.5
4,806,540,0.42,0.5
5,960,540,0.5,0.5
6,1113,540,0.58,0.5
7,1267,540,0.66,0.5
8,1420,540,0.74,0.5
9,1574,540,0.82,0.5
