fixation_index,count,first_frame_idx,last_frame_idx
0,38,3375,3412
1,39,3420,3458
2,38,3466,3503
3,38,3510,3547
4,38,3555,3592
5,38,3600,3637
6,38,3645,3682
7,37,3689,3725
8,38,3732,3769
9,38,3777,3814
