image,px,py
00_003375.jpg,265.00370025634766,286.01929473876953
00_003376.jpg,268.98036193847656,285.7794876098633
00_003377.jpg,268.69859313964844,285.13614654541016
00_003378.jpg,268.5237045288086,284.72434997558594
00_003379.jpg,268.96251678466797,285.3574562072754
00_003380.jpg,273.6148452758789,285.0280952453613
00_003381.jpg,273.6148452758789,285.0280952453613
00_003382.jpg,274.28340911865234,284.82413482666016
00_003383.jpg,274.6412658691406,285.91773986816406
00_003384.jpg,275.11792755126953,286.1585807800293
00_003385.jpg,275.6143341064453,287.478759765625
00_003386.jpg,276.0914306640625,287.33972930908203
00_003387.jpg,275.6203308105469,287.1636619567871
00_003388.jpg,275.4131851196289,287.04185485839844
00_003389.jpg,275.0006637573242,286.539005279541
00_003390.jpg,274.18033599853516,285.96563720703125
00_003391.jpg,274.19586181640625,286.7844467163086
00_003392.jpg,274.2464065551758,287.2072448730469
00_003393.jpg,274.84928131103516,287.15081787109375
00_003394.jpg,275.3894271850586,287.8712615966797
00_003395.jpg,275.21179962158203,288.71839141845703
00_003396.jpg,275.4331817626953,288.4994316101074
00_003397.jpg,275.4696350097656,287.3696479797363
00_003398.jpg,275.1261215209961,288.47622299194336
00_003399.jpg,274.0834732055664,287.898983001709
00_003400.jpg,275.5190963745117,290.54391860961914
00_003401.jpg,274.8053970336914,290.2620391845703
00_003402.jpg,275.0187301635742,289.18909454345703
00_003403.jpg,275.5433044433594,289.94038009643555
00_003404.jpg,275.5452346801758,289.89106369018555
00_003405.jpg,275.4636764526367,289.7721481323242
00_003406.jpg,276.0176696777344,292.00694274902344
00_003407.jpg,275.9186019897461,292.15320587158203
00_003408.jpg,276.0962600708008,292.34253692626953
00_003409.jpg,276.1037139892578,292.2517967224121
00_003410.jpg,275.9764938354492,292.2035713195801
00_003411.jpg,275.8654098510742,291.4117431640625
00_003412.jpg,276.0413131713867,292.15088272094727
01_003420.jpg,273.17677307128906,292.14337158203125
01_003421.jpg,272.6571807861328,292.27459716796875
01_003422.jpg,272.78136444091797,292.26480865478516
01_003423.jpg,272.71217346191406,291.84691619873047
01_003424.jpg,272.5028381347656,291.6522521972656
01_003425.jpg,273.49951934814453,292.9560012817383
01_003426.jpg,273.07772064208984,293.08967208862305
01_003427.jpg,272.93614959716797,292.7364044189453
01_003428.jpg,272.9498596191406,292.80313873291016
01_003429.jpg,273.7985076904297,292.69501876831055
01_003430.jpg,273.9155578613281,292.4801368713379
01_003431.jpg,273.6886901855469,291.9252281188965
01_003433.jpg,273.56690216064453,292.83668518066406
01_003434.jpg,273.45436096191406,292.628475189209
01_003435.jpg,273.42449951171875,292.36716079711914
01_003436.jpg,274.0720901489258,292.05814361572266
01_003437.jpg,274.14353942871094,292.86621856689453
01_003438.jpg,274.0881881713867,292.12426376342773
01_003439.jpg,274.4796142578125,292.10522079467773
01_003440.jpg,274.5093994140625,292.89592361450195
01_003441.jpg,274.4542770385742,293.00695037841797
01_003442.jpg,274.41851806640625,291.8346710205078
01_003443.jpg,274.46839904785156,291.87028884887695
01_003444.jpg,274.36346435546875,292.0900993347168
01_003445.jpg,274.4488220214844,292.71084213256836
01_003446.jpg,274.6359176635742,292.46007919311523
01_003447.jpg,274.6558303833008,292.55989837646484
01_003448.jpg,274.7714538574219,291.9809455871582
01_003449.jpg,274.2221221923828,292.84365463256836
01_003450.jpg,273.17308044433594,292.62697982788086
01_003451.jpg,273.44703674316406,292.80198669433594
01_003452.jpg,273.46131134033203,292.7882766723633
01_003453.jpg,273.70829010009766,292.2292709350586
01_003454.jpg,273.22180938720703,292.0914421081543
01_003455.jpg,273.5748596191406,292.08266830444336
01_003456.jpg,273.48077392578125,292.3279266357422
01_003457.jpg,273.5190734863281,292.35871505737305
01_003458.jpg,273.35872650146484,292.8495674133301
02_003466.jpg,272.9099807739258,292.7050552368164
02_003467.jpg,272.2100067138672,293.0483703613281
02_003468.jpg,270.21449279785156,292.45147705078125
02_003469.jpg,270.45294189453125,293.50585556030273
02_003470.jpg,270.5790328979492,293.75060272216797
02_003471.jpg,270.61688232421875,293.64463806152344
