fixation_index,count,first_frame_idx,last_frame_idx
0,41,2926,2966
1,39,2973,3011
2,39,3018,3056
3,39,3062,3100
4,38,3109,3146
5,37,3153,3189
6,38,3196,3233
7,39,3241,3279
8,37,3286,3322
9,38,3329,3366
