fixation_index,x_px,y_px,rel_x,rel_y
0,384,216,0.2,0.2
1,960,216,0.5,0.2
2,1536,216,0.8,0.2
3,384,540,0.2,0.5
4,960,540,0.5,0.5
5,1536,540,0.8,0.5
6,384,864,0.2,0.8
7,960,864,0.5,0.8
8,1536,864,0.8,0.8
