fixation_index,count,first_frame_idx,last_frame_idx
0,37,3510,3546
1,36,3554,3589
2,39,3597,3635
3,39,3642,3680
4,38,3687,3724
5,37,3732,3768
6,38,3775,3812
7,37,3820,3856
8,39,3864,3902
9,36,3910,3945
