fixation_index,count,first_frame_idx,last_frame_idx
0,61,2377,2437
1,43,2447,2489
2,38,2496,2533
3,39,2540,2578
4,37,2585,2621
5,38,2629,2666
6,37,2672,2708
7,36,2716,2751
8,39,2758,2796
