event,timestamp_ns
pattern_start,1757936349155854000
fixation_start,1757936349480405300
fixation_end,1757936351481855900
fixation_start,1757936351801538900
fixation_end,1757936353802317300
fixation_start,1757936354133810600
fixation_end,1757936356135180700
fixation_start,1757936356460018100
fixation_end,1757936358461334300
fixation_start,1757936358802950300
fixation_end,1757936360804001200
pattern_end,1757936362804845000
